,FECHA,HORA DECLARADA,RUTA,OPERADOR,TIPO_AERONAVE,PERSONAS_ABORDO,PASAJEROS A BORDO,TRIPULACION_ABORDO,CANTIDAD DE FALLECIDOS,PASAJEROS_FALLECIDOS,TRIPULACION_FALLECIDA,DESCRIPCION_ACCIDENTE,DÉCADA,AÑO
372,1947-04-13,02:40:00,"Off Dakar, Senegal",British South American Airways,Avro 685 York I,15,9,6,6,6.0,0.0,The plane crashed while making a third landing attempt. Unwise decision to try a third landing attempt. No approach lights. No radio facilities.,1940,1947
373,1947-04-22,10:40:00,"Columbus, Georgia",Delta Air Lines,Douglas DC-3 (C-47DL) /Vultee BT-13,10,8,2,10,8.0,2.0,"A private plane landed on top of the DC-3 while it was taking off.  After rising to a height of 150 ft., the tail of the DC-3 was forced down and both planes crashed in flames. All 9 killed aboard the DC-3 and one aboard the private plane were killed.  The failure of the pilot in the BT-13 to fly a standard left hand pattern in his approach to the airport and to keep a diligent lookout for other traffic.",1940,1947
374,1947-04-28,23:13:00,"Near Vancouver, British Columbia, Canada",Trans Canada Air Lines,Lockheed 18 Loadstar,15,12,3,15,12.0,3.0,"The aircraft disappeared while en route from Lethbridge, Alberta to Vancouver, British Columbia. The last known position was over Vancouver Airport. The wreckage was discovered and identified in September 1994 in a remote area, 10 miles north of Vancouver near Mt. Seymour.",1940,1947
375,1947-05-11,09:39:00,"Delaware Bay, New Jersey",Trans Continental and Western Air,Lockheed L-049 Constellation,4,0,4,4,0.0,4.0,"Went into a turn and lost control, spiraled into the ground. Loss of control of the aircraft for reasons undetermined.",1940,1947
376,1947-05-16,16:25:00,"Near Khabarovsk, Russia",Aeroflot,Douglas DC-47,22,17,5,22,17.0,5.0,"The plane was attempting to land in poor visibility, below weather minimumns the plane hit a broadcast radio mast, crashed and burned. Crew error, ATC error.",1940,1947
377,1947-05-29,19:05:00,"La Guardia Airport, Queens, New York",United Air Lines,Douglas C-54B,48,44,4,43,41.0,2.0,"The aircraft overran the runway during an attempted takeoff, crashed and caught fire. Either the failure of the pilot to release the gust lock before take-off or his decision to discontinue the take-off because of apprehension resulting from rapid use of a short runway under a possible calm wind condition.",1940,1947
378,1947-05-29,22:45:00,"Atsugi, Japan",Military - U.S. Army Air Forces,Douglas C-54D-DC (DC-4),40,33,7,40,33.0,7.0,"Turned the wrong way while attempting to land and slammed into a mountain, bursting into flames.",1940,1947
379,1947-05-29,12:48:00,"Hjedinsfjordur, Iceland",Flugefelag,Douglas DC-3,25,21,4,25,21.0,4.0,Crashed on the north coast of Iceland in poor weather. the aircraft hit the slope of Mt Hestfjall located on the west coast of Héðinsfjörður Bay.,1940,1947
380,1947-05-30,17:41:00,"Port Deposit, Maryland",Eastern Air Lines,Douglas C-54B-15-DO,53,49,4,53,49.0,4.0,"While on approach to Baltimore at 4,000 ft., the plane suddenly went into a nose dive, inverted and crashed.  Possible problems with the elevator. The official cause was never determined.",1940,1947
381,1947-06-04,23:00:00,"Near Gemenos, France",Air France,Junkers Ju-52,2,0,2,2,0.0,2.0,The cargo plane struck high ground while en route.,1940,1947
382,1947-06-11,23:07:00,"Near Natal, Brazil",Flota Aérea Mercante Argentina,Avro 691 Lancastrian,18,13,5,5,3.0,2.0,"Veered off runway, struck a building while landing.",1940,1947
383,1947-06-13,18:16:00,"Leesburg, Virginia",Pennsylvania Central Airlines,Douglas DC-4 (C-54-DO),50,47,3,50,47.0,3.0,"The aircraft crashed into a ridge at Lookout Rock, 8 miles SE of Charles Town, WV during a rainstorm. The action of the pilot in descending below the minimum en route altitude under conditions of weather which prevented adquate visual reference to the ground.  A contributing cause was the faulty clearance given by ATC.",1940,1947
384,1947-06-19,23:40:00,"Al Mayadin, Syria",Pan American World Airways,Lockheed 049-46-21 Constellation,36,27,9,14,7.0,7.0,"While on a flight originating in New York and making its inaugural westbound flight of round-the-world service, the aircraft's No. 1 engine failed half-way on a leg from Karachi to Istanbul. Due to closed airports and inadequate repair facilities, the pilot chose to continue to its destination. Several hours later, the remaining engines overheated and the No.2 engine caught fire causing the plane to crash. Gene Roddenberry (creator of Star Trek) was a deadheading Pan Am pilot aboard, who helped rescue many of the passengers.  The crash was blamed on Pan Am's failure to replace the No. 2 engine which had experienced several problems earlier.  A fire which resulted from an attempt to feather the No. 2 propeller after the failure of the No. 2 engine thrust bearing. The aircraft was named Clipper Eclipse.",1940,1947
385,1947-07-13,04:30:00,"Melbourne, Florida",Burke Air Transport,Douglas DC-3,36,33,3,14,12.0,2.0,"The aircraft, on a charter flight from New York to San Juan, Puerto Rico, crashed into a swamp while attempting to make an emergency landing. Loss of an engine due to a fuel flow problem led to loss of altitude and a crash landing. Six spark plugs in the right engine were found to be defective. A defect found in the carburetor may have contributed to excessive fuel loss. Crew fatigue contributed to the accident.",1940,1947
386,1947-07-16,22:40:00,"Az-Zubair, Iran",British Overseas Airways,Avro 685 York,6,0,6,6,0.0,6.0,"During a fourth landing attempt the plane touched down, power was applied but the plane crashed in a wooded area beyond the runway. An error on the part of the pilot in continuing the flight in unsuitable weather conditions coupled with lack of cooperation by the ATC.",1940,1947
387,1947-08-02,17:40:00,"Andes, Argentina",British South American Airways,Avro 691 Lancastrian 3,11,6,5,11,6.0,5.0,"Crash in the Andes mountains in poor weather while flying from Mendoza, Argentina to Santiago, Chile. The plane was found on the south slope of Tupungato peak at the 18,000 ft. level on January 19, 2000, 53 years later. Possibly icing or possibly the aircraft, being capable of flying over 20,000 feet, encountered strong head winds and began a descent thinking they were over their destination when they were not. The plane was named ""Star Dust."" The radio operator transmitted an enigmatic coded message (""STENDEC"") before the plane disappeared.",1940,1947
388,1947-08-08,18:49:00,"New York, New York",American Airlines,Douglas DC-3C,5,3,2,3,1.0,2.0,"Cargo flight. Lost an engine on takeoff and decided to return to the airport. Following an attempted landing, a miss approach procedure was attempted for a second landing without sufficient air speed for single engine operation.",1940,1947
389,1947-08-21,06:11:00,"Hanksville, Utah",Slick Airways,Curtiss C-46E,3,1,2,3,1.0,2.0,The cargo plane entered a thunderstorm and struck Blue Bell Knoll Mountain. The continuation of the flight into instrument weather conditions over mountainous terrain at an altitude too low to clear the mountains en route.,1940,1947
390,1947-08-23,04:00:00,"Bahrain, Persian Gulf",British Overseas Airways,Short Sandringham 5 (flying boat),26,18,8,10,7.0,3.0,"Heavy water landing. The captain misjudged the approach and allowed the aircraft to touchdown heavily, short of the flarepath. He then failed to maintain control during the bounce and the aircraft struck the water in a nose-down attitude.",1940,1947
391,1947-08-28,09:00:00,"Harsiad, Norway",Norwegian Airlines,Short Sandringham (flying boat),35,27,8,35,27.0,8.0,"Crashed into 13,000 foot mountain. Navigational error by the crew.",1940,1947
392,1947-10-08,07:55:00,"Near El Paso, Texas",American Airlines,Douglas DC-4,54,49,5,0,0.0,0.0,"While cruising at 8,000 ft. in clear weather, the aircraft went into steep dive which the co-pilot was able to pull out of at 350 feet from the ground.  As a prank, a captain riding in the jump seat, engaged the gust lock in flight. The command pilot, not knowing the gust lock was engaged, rolled the elevator trim tab with no response. When the jump seat captain disengaged the gust lock,the aircraft went into a steep dive, executed part of an outside roll and become inverted. Neither the command nor jump seat captain had seat belts on and they accidentally feathered No. 1, 2 and 4 engines when they hit the controls with their heads.  No one realized it at the time but the feathering reduced power and allowed the co-pilot, who was strapped in, to pull out of the dive.",1940,1947
393,1947-10-14,10:04:00,"Ocean, 800 miles east of Newfoundland",American International Airways,Boeing 314A,69,62,7,0,0.0,0.0,"The plane was 5,000 pounds over its certified weight and had to land at sea when it ran out of fuel in severe headwinds.  Over the next following 25 hours all occupants were rescued by the US Coast Guard ship Bibb using rafts and small boats and the plane was then sunk as a hazard to shipping.",1940,1947
394,1947-10-16,14:50:00,"Off Cartegena, Spain",Societe Aerienne du Littoral,Bristol 170 Freighter I,43,39,4,41,38.0,4.0,Crashed into the sea following engine failure. The mechanic and a passenger survived.,1940,1947
395,1947-10-24,12:29:00,"Bryce Canyon, Utah",United Air Lines,Douglas DC-6,53,48,5,53,48.0,5.0,"Fire was reported on board the aircraft before it crashed.  An almost identical accident with the same cause occurred on 11/11/47. The flight crew transferred fuel either intentionally or inadvertently from the No. 4 alternate tanks to the No. 3 alternate tanks and failed to stop the transfer process in time to avoid overflowing the No. 3 alternate tank. Gasoline flowed through the No. 3 alternate vent line, out the vent, and was carried back by the slip stream, entering the cabin heater combustion air intake scoop. When the cabin heater came on an explosion and fire  occurred. The fire was fueled by magnesium flares strored in the cabin heater compartment. Caused by a design flaw in the aircraft which allowed vented fuel to be carried back into the cabin heater air intake.",1940,1947
396,1947-10-26,19:30:00,"Near Mt. Hymettus, Greece",AB Aerotransport,Douglas DC-4-1009,44,36,8,44,36.0,8.0,"The aircraft crashed into Mt. Hymettus while on approach to Hassani Airport in a severe rainstorm. The captain, John Douglas, probably tried to force the landing due to the weather conditions, when the belly of the aircraft hit the summit, resulting in loss of control, crash and fire. The pilot did not properly follow IFR procedures. The wreckage was found the next morning with the corpses of the victims plundered (the victim's pockets were found to be turned inside-out). The aircraft was named ""Sunnan.""",1940,1947
397,1947-10-26,13:45:00,"Annette Island, Alaska",Pan American World Airways,Douglas DC-4A,18,13,5,18,13.0,5.0,The aircraft crashed into Tamgas Mountain after abandoning an approach to Annette Island because of extreme turbulence and radioing its intentions to proceed to Juneau. Possible severe turbulence or icing. Official cause unknown. The aircraft was named Clipper Talisman II.,1940,1947
398,1947-11-18,13:00:00,"Newcastle, Delaware",Trans Continental and Western Air,Lockheed L-049-46-26 Constellation,5,0,5,5,0.0,5.0,"Crashed short of the runway and burst into flames. The inadvertent landing of the aircraft short of the runway. Inadequate air speed, improper use of power, and the adoption of an incorrect glide path.",1940,1947
399,1947-11-18,15:00:00,"Ravello, Italy",Trafik-Turist-Transportflyg,Bristol 170 Freighter XI,25,21,4,20,16.0,4.0,"Strayed off course, stuck tree tops and then crashed into Mt. Santa Maria del Monte. Pilot's failure to realize the plane strayed off course and was in mountainous territory.",1940,1947
400,1947-11-21,18:00:00,"Phouznicie, Romania",TARS,Lisunov Li-2,26,21,5,13,8.0,5.0,"Crashed and burned on 2,000 ft. Tabor Peak in fog. The crew became lost after radio failure.",1940,1947
401,1947-11-27,04:20:00,"Montenegrin Mountains, Yugoslavia",JAT Yugoslav Airlines,Lisunov LI-2,22,19,3,22,19.0,3.0,The aircraft crashed and burned 2 miles from Titograd airport while attempting to land in a snowstorm.,1940,1947
402,1947-11-28,14:10:00,"Near Trappa, Italy",Military - U.S. Air Force,Douglas C-47B,20,15,5,20,15.0,5.0,"Drifting 30 miles off the prescribed course, the aircraft crashed into snow covered mountains. The wreckage was discovered 8 months later.",1940,1947
403,1947-11-30,14:25:00,"Seattle, Washington",Alaska Airlines,Douglas C-54A,28,25,3,8,7.0,1.0,"The plane attempted to land at Seattle-Tacoma Airport  but aborted the landing because of low ceiling and visibility. During a second landing attempt, the aircraft touched down 2,748 feet beyond the approach end of Runway 20, ran past the end of the runway, hit an automobile killing one person, crashed into a ditch and burst into flames. Caused by the landing of the airplane too far from the approach end of a wet runway and at a speed too great to accomplish a full stop on the runway.",1940,1947
404,1947-12-10,00:20:00,"Near Goose Bay, Labrador",Military - U.S. Air Force,Douglas C-54D-DC (DC-4),29,25,4,23,22.0,1.0,The aircraft crashed and burned in a wooded area shortly after taking off from Goose Bay. Snow falling at the time of the accident was a factor.,1940,1947
405,1947-12-11,18:10:00,"Near Memphis, Tennessee",Military - U.S. Air Force,Douglas C-47-DK,20,16,4,20,16.0,4.0,"After preparing to land, the aircraft went into a right-hand spiral and crashed  for reasons unknown.",1940,1947
406,1947-12-18,09:30:00,"Krasnoyarsk, Russia",Aeroflot,Ilyushin IL-12,25,20,5,9,3.0,4.0,Crash landed due to engine failure after an attempted go-around.,1940,1947
407,1948-01-06,19:30:00,"Paris, France",Air France,Douglas DC-3D,16,11,5,16,11.0,5.0,Crashed into trees a few hundred yards away from the runway while attempting to land at Le Bourget Airport. Both weather and pilot error were considered as causative factors in the accident.,1940,1948
408,1948-01-07,07:45:00,"Near Savannah, Georgia",Coastal Air Lines,Douglas DC-3,27,25,2,18,17.0,1.0,"After both engines stopped in flight and attempts to restart them failed, the aircraft banked sharply, stalled and crashed 10 miles east northeast of Savannah. The fuel selector valves were positioned so that both engines were supplied fuel from only one of the auxilliary tanks until the fuel was exhausted and control of the plane was lost.",1940,1948
409,1948-01-13,04:36:00,"Oxon Hill, Maryland",Eastern Air Lines,Douglas DC-3-201F,9,6,3,5,3.0,2.0,"The aircraft crashed during approach, 5.2 miles short of the runway, in poor weather conditions. Failure of the crew to follow prescribed  procedures and maintain a safe altitude during an ILS approach.",1940,1948
410,1948-01-28,10:50:00,"Diablo Mts., California",Airline Transport Carriers,Douglas DC-3 (C-47B-DK),32,29,3,32,29.0,3.0,"The crew took the wrong plane which was scheduled for maintenance.  An in-flight fire caused the engine and then wing to separate from the aircraft and crash out of control. Tests showed a fuel pump was broken in the left engine and would spray gasoline out where it could be ignited by the exhaust. The failure of the left wing in flight as a result of damage by fire which had its source in a defective left engine driven fuel pump.The crash became the impetus for the Woody Guthrie song ""Deportee.""",1940,1948
411,1948-01-30,03:00:00,"Atlantic Ocean, NE of Bermuda",British South American Airways,Avro 688 Tudor I,31,25,6,31,25.0,6.0,"The aircraft ran out of fuel and crashed into the Atlantic Ocean, 340 miles from Bermuda, after running into strong headwinds and being blown off course while flying the leg from  the Azores to Bermuda. Official cause unknown. The aircraft was named ""Star Tiger.""",1940,1948
412,1948-02-07,13:27:00,"Off Jacksonville, Florida",Eastern Air Lines,Lockheed L-649 Constellation,69,63,6,1,0.0,1.0,The No. 3 propeller failed and penetrated the fuselage killing a purser.The failure of a propeller blade due to high stresses induced by accumulative engine malfunctioning.,1940,1948
413,1948-02-10,16:30:00,"Near Padalarang, Indonesia",KLM Royal Dutch Airlines,Douglas DC-3,19,15,4,19,15.0,4.0,Crashed and burned on the island of Java. The crew reported they lost an engine. While trying to return the plane crashed and exploded.,1940,1948
414,1948-02-12,13:25:00,"Ubrichstein, Germany",Det Danske Luftfartselskab,Douglas DC-3,21,17,4,12,8.0,4.0,"In marginal weather conditions, the crew informed ground that an engine failed and was forced to make an emergency landing as they were unable to maintain a safe altitude. The aircraft crash landed in a field located in Ulrichstein, about 70 km northeast of Frankfurt Airport.",1940,1948
415,1948-02-20,13:40:00,"Collesalvetti,  Italy",Società Aerea Teseo,Douglas C-47-DL,10,7,3,7,4.0,3.0,"The pilot chose to fly the short distance between Florence and  Rome below the cloud base. The weather suddenly became worse and the plane entered clouds at low level, drifted off course and struck a hill.",1940,1948
416,1948-02-21,14:00:00,"Off St. Marcouf, France",Latecoere Airlines,Latecoere 631 (flying boat),14,7,7,14,7.0,7.0,"The aircraft was seen at Ste. Mere l'Eglise where it passed very low in poor weather and snow showers before crashing into the English Channel, 50 miles west of La Harvre. It had turned back after encountering adverse weather conditions.",1940,1948
417,1948-02-25,06:00:00,"Columbus, Ohio",Bruning Aviation,Douglas C-47A,2,0,2,2,0.0,2.0,The cargo plane struck trees while attempting to land.The continuation of an instrument approach below an altitude sufficient to clear the terrain en route.,1940,1948
418,1948-03-02,21:14:00,"Heathrow Airport, London, England",Sabena,Douglas DC-3,22,19,3,20,17.0,3.0,The plane crashed during a ground control approach in poor weather conditions. Misjudgement by the pilot when attempting to land at night in conditions of low visibility. Last DC-3 built.,1940,1948
419,1948-03-10,22:58:00,"Chicago, Illinois",Delta Air Lines,Douglas DC-4,13,9,4,12,8.0,4.0,"During takeoff, the aircraft went into a near vertical climb to an altitude of 500 - 800 feet, stalled and crashed.  Loss of longitudinal control of the airplane for reasons undetermined.",1940,1948
420,1948-03-12,21:14:00,"Mt. Sanford, Alaska",Northwest Orient Airlines,Douglas DC-4 (C-54G-1-DO),30,24,6,30,24.0,6.0,"On a charter flight from Lunghwa Airport, Shanghai to La Guardia Airport, New York the plane crashed into the western slope of Mt. Sanford at an altitude of 11,000 feet after taking off from Anchorage, Alaska. Pilot's failure to see Mt. Sanford due to obscuring clouds or aurora borealis while flying a course off the airway.",1940,1948
421,1948-03-27,07:30:00,"Monte Cardo, Corsica, France",Indian National Airlines,Vickers 604 Viking 1B,19,15,4,19,15.0,4.0,"Crashed into a 7,800 ft. mountain obscured by clouds while en route.",1940,1948
422,1948-04-05,14:30:00,"Near Berlin, Germany",British European Airways / Military - Soviet Air Force,Vickers Viking 1B & Soviet YAK-3 fighter,14,10,4,14,10.0,4.0,"The aircraft was circling Gatow in preparation for landing when the DC-3 collided head on with the Russian Air Force Yakovlev 3 fighter, which was performing aerobatics. A total of 14 killed on the Vickers Viking and one on the YAK fighter. The collision was caused by the action of the Yak fighter's pilot, which was in disregard of the accepted rules of flying.",1940,1948
423,1948-04-10,08:33:00,"Kano, Nigeria",Air France,Douglas DC-4,6,0,6,1,0.0,1.0,"Following the failure of the starter on engine number one, the crew was unable to restart this engine and received the authorization to perform an empty leg back to Paris for maintenance purposes. During the takeoff roll in Kano Airport, the aircraft went out of control and veered off runway before colliding with a BOAC technical hangar. A crew member was killed while five others were injured. The crew failed to follow the pre-flight checklist and did not realized the nose wheel was not configured for the takeoff procedure.",1940,1948
424,1948-04-15,02:35:00,"Shannon, Ireland",Pan American World Airways,Lockheed L-049-46 Constellation,31,21,10,30,20.0,10.0,"While executing a second instrument approach at Shannon Airport, the aircraft struck the ground 2,380 feet from the approach end of the intended runway, broke apart and burned. Continuation of an instrument approach to an altitude insufficient to clear the terrain. The failure of a fluorescent light may have been a contributing cause. The plane was named ""Clipper Empress of the Skies.""",1940,1948
425,1948-04-18,09:20:00,Territory of New Guinea,New Guinea Air Traders,Lockheed Hudson IIIA,37,33,4,37,33.0,4.0,"The aircraft climbed to 500 ft. when its left engine failed, whereupon the plane plunged nose first into the ground on an island on the Markham River. Poor technique by the pilot during an emergency situation.",1940,1948
426,1948-04-24,09:30:00,Near Irkutsk Russia,Aeroflot,Lisnov Li-2,29,25,4,28,24.0,4.0,"Crashed in an icy river, 20 miles from its destination. The flight crew who had been drinking the previous night, diverted from the correct route and had been flying at an altitude of about 300 ft. when they crashed.",1940,1948
427,1948-05-13,17:30:00,"Mount Coron, France",Skyways of London,de Havilland Dove 1,4,2,2,4,2.0,2.0,"The aircraft crashed in a storm.  Kathleen Kennedy Cavendish, 28, sister of  President John F. Kennedy, killed.",1940,1948
428,1948-05-13,11:00:00,"Near Magazini, Belgian Congo (Zaire)",Sabena,Douglas DC-4-1009,32,25,7,31,24.0,7.0,"While cruising, the aircraft penetrated a very turbulent line of clouds, lost height and crashed into a forest. The aircraft apparently flew into a tornado at low altitude.",1940,1948
429,1948-05-15,07:20:00,"Vrede, South Africa",Mercury Aviation,Douglas DC-3-455,13,8,5,13,8.0,5.0,"Crashed into Spitzkop mountain after drifting off course in poor weather. The aircraft was named ""Miss France.""",1940,1948
430,1948-05-16,20:42:00,"Columbus, Ohio",Slick Airways,Curtiss C-46E,2,0,2,2,0.0,2.0,"Cargo flight. The in-flight failure of the fuselage carry-in structure beneath the fin, due to extreme turbulence.",1940,1948
431,1948-05-20,23:30:00,"Near Bovingdon, England",Air Transport Charter,Douglas C-47A,4,0,4,3,0.0,3.0,"Cargo flight. While maneuvering at night under the base of low cloud prepatory to landing, the aircraft lost height and struck the ground. The cause of the accident was not determined.",1940,1948
432,1948-05-22,18:40:00,"Khabarovsk, Russia",Aeroflot,Douglas C-47,9,5,4,8,4.0,4.0,"The aircraft collided with the western slope of  Marchekanskoy  hill, 70 m from the top. ATC error.",1940,1948
433,1948-06-10,20:00:00,Isle of Man,Hargreaves Airways,de Havilland DH-89A Dragon Rapide,8,7,1,6,5.0,1.0,Crashed into a hill near Port Erin while attempting to land. The plane had failed to maintain both the proper course to the homing beacon and suffiecient altitude to clear the terrain.,1940,1948
434,1948-06-17,12:41:00,"Mount Carmel, Pennsylvania",United Air Lines,Douglas DC-6,43,39,4,43,39.0,4.0,"The plane crashed after an in-flight fire in cargo hold. The crew discharged carbon dioxide extinguishers into the cargo hold in response to the fire warning. When the plane's nose was lowered for an emergency descent, the carbon dioxide, being heavier than air, accumulated in the cockpit and asphyxiated the crew.  The aircraft crashed through high voltage lines and exploded on a hillside. After the crashes of 10/24/47 and 11/11/47, were a design flaw allowed vented fuel to enter the intake for the cabin heating system, the CAA also ordered carbon dioxide extinguishers installed. Earl Carroll,  U.S. theatrical impresario killed. Douglas aircraft company knew of the carbon dioxide danger after two of its test pilots were almost overcome during test flights. They suppressed reports to the CAA which resulted in only a warning being added to the flight manual. The aircraft was named Mainliner Utah.",1940,1948
435,1948-07-01,12:00:00,"Keerbergen, Belgium",Avio Linee Italiane,Fiat G.212CP,12,7,5,8,4.0,4.0,Crashed after overrunning the runway in heavy rain.,1940,1948
436,1948-07-04,16:00:00,"Northolt, Middlesex, England",Scandinavian Airlines (SAS),Douglas DC-6 / RAF York,39,26,13,39,26.0,13.0,"A midair collision occurred between a SAS DC-6 and a Royal Air Force Avro York MW248. Twenty-five passengers and 7 crew on the DC-6,  one passenger and six crew on the York. The accident was caused by human fallibility on the part of both ground and flilght personnel.",1940,1948
437,1948-07-07,09:50:00,"Djiring, French Indo-China",Aigle Azur,Douglas DC-3,16,13,3,16,13.0,3.0,Crashed into mountains 50 miles southwest of Da Lat in adverse meteriological conditions and absence of adequate ground facililities.,1940,1948
438,1948-07-16,18:00:00,Pacific Ocean between Hong Kong and Macao,Cathay Pacific Airways,Consolidated OA-10 Catalina,26,23,3,25,22.0,3.0,"The plane crashed after being hijacked. While trying to take control of the aircraft, one of the passengers tried to stop the hijackers, In response, one of the hijackers shot wildly striking and killing both pilots The plane went out of control and crashed. One of the hijackers survived by jumping out of the rear exit before the plane hit the water.  He was held in Macao prison for three years and released in 1951.First commercial aircraft to be hijacked.",1940,1948
439,1948-07-24,17:30:00,"Cap-des-Rosiers, Quebec, Canada",Rimouski Airlines,Douglas DC-3,29,27,2,29,27.0,2.0,"The aircraft hit a mountain top at Cap-des-Rosiers, 12 miles from its destination in fog and burned.",1940,1948
440,1948-07-29,09:15:00,"Buenos Aires, Argentina",ALFA,Short Sandringham 2 (flying boat),24,18,6,18,16.0,2.0,Crashed and sank near the shore of the River Plate while attempting to land in fog. Pilot error. Attempting to land atop water in conditions of fog and poor visibility which were below the prescribed minima.,1940,1948
441,1948-08-01,09:40:00,"Karachi, Pakistan",Onzeair,Avro 691 Lancastrian (flying boat),4,0,4,4,0.0,4.0,"Cargo flight. An error in judgement on the part of the pilot in allowing the aircraft to stall while coming in to land. The contributory causes were probably overload, badly loaded with CG too far aft, movement of load due to it not being secured.",1940,1948
442,1948-08-01,23:55:00,"1,200 miles off Dakar, Atlantic Ocean",Air France,Latecoere 631 (flying boat),52,40,12,52,40.0,12.0,"Disappeared in the Atlantic on a flight from Fort. de France, Martinique to Port Etienne, Mauritania. The United States Coast Guard cutter Campbell reported finding debris on August 4 with no survivors.",1940,1948
443,1948-08-09,08:45:00,"Port Underwood, New Zealand",New Zealand National Airways,Douglas C-47B,2,0,2,2,0.0,2.0,"The cargo fllight hit the slope of a mountain located in Rununder Point, near Port Underwood, 32 km northeast of Blenheim in poor weather.",1940,1948
444,1948-08-29,17:05:00,"Near Winona, Minnesota",Northwest Orient Airlines,Martin 202,37,33,4,37,33.0,4.0,"Crashed following the separation of the left wing after the aircraft entered a thunderstorm. Loss of the outer panel of the left wing which separated as a result of a fatigue crack which was induced by a faulty design of a wing flange, aggravated by severe turbulence of the thunderstorm.",1940,1948
445,1948-09-02,20:15:00,"Near Quirindi, Australia",Australian National Airways,Douglas DC-3,13,10,3,13,10.0,3.0,"Strayed off course and struck Square Peak Mountain at an altitude of 4,600 feet.",1940,1948
446,1948-09-30,12:50:00,"Balkhash, Kazakhstan",Aeroflot,Lisunov LI-2,15,11,4,15,11.0,4.0,"A few minutes after takeoff, while climbing, the aircraft flew into clouds and control was lost. The aircraft banked right and lost altitude crashing in an isolated area located about 39 km northwest of Balkhash",1940,1948
447,1948-10-02,10:30:00,"Near Trondheim, Norway",Norwegian Airlines,Short Sandringham 6 (flying boat),45,38,7,19,16.0,3.0,Crashed in Hommelvika Bay  while attempting to land in crosswinds and high seas.,1940,1948
448,1948-10-12,13:00:00,"Near Yevlakh, Azerbaijan, USSR",Aeroflot,Ilyushin Il12,10,4,6,10,4.0,6.0,"Crashed after turning back towards its point of departure afer encounteing low clouds, rain and icing conditions as well as poor navigational difficulties due to poor reception of radio beacons.",1940,1948
449,1948-10-21,00:35:00,"Prestwick Airport, Scotland",KLM Royal Dutch Airlines,Lockheed 049-46-25 Constellation,40,30,10,40,30.0,10.0,"The aircraft was on a flight from Amsterdam to New York with a stopover at Prestwick Scotland. The aircraft attempted to land on Runway 32 but the crew choose to go-around due to strong cross winds and asked to land on Runway 26.  While circling to line up with the runway, the aircraft ran into a heavy fog bank and crashed into high voltage power lines at an elevation of 400 feet and burst into flames. The crashed occurred 5 miles east-northeast of the airport. Improper flight procedures by the crew. Lack of information supplied to the crew by the tower. The aircraft was named ""Nijmegen"" after the old Dutch town close to the West German border.",1940,1948
450,1948-10-23,14:15:00,"Mt. Ruapehu, New Zealand",New Zealand National Airways,Lockheed 10A Electra,13,10,3,13,10.0,3.0,Crashed 700 feet from the summit of a mountain while en route in low visibility. Lack of navigational aids in the area contributed to the accident cause.,1940,1948
451,1948-10-25,14:00:00,"Georgian SSR, USSR",Aerflot,Lisunov Li-2,18,14,4,18,14.0,4.0,Crashed in the Caucasus Mountains in adverse weather while en route. The crew deviated from its prescribed course. Poor flight planning. Crew drank alcohol before the flight.,1940,1948
452,1948-10-27,16:50:00,"Near Edmonton, Alberta, Canada",Northwest Orient Airlines,Douglas C-54A,5,0,5,2,0.0,2.0,Cargo flight. The captain's action in undertaking simulated emergency procedures at a dangerously low altitude.,1940,1948
453,1948-11-03,10:50:00,"Near Glossop, England",Military - U.S. Air Force,Boeing B-29A Superfortress,13,0,13,13,0.0,13.0,"Twenty-five minutes into the flight, the pilot descended prematurely and collided with a cloud covered mountain.",1940,1948
454,1948-11-04,04:45:00,"Cape Spencer, Alaska",Pacific Alaska Air Freight,Douglas DC-3,17,15,2,17,15.0,2.0,Lost contact with the aircraft after the crew reported passing Cape Spencer. The wreckage was never found.  Cause undetermined.,1940,1948
455,1948-11-08,07:40:00,"Mt. Macedon, Australia",Australian National Airways,Douglas DC-3,23,19,4,3,0.0,3.0,Crashed into Mt. Macedon hidden in fog. The pilot deviated off course from his flight plan and failed to follow VFR flight rules.,1940,1948
456,1948-11-11,18:15:00,"Liverpool, England",Mannin Airways,de Havilland DH-89A Dragon Rapide,8,6,2,7,5.0,2.0,Crashed after running out of fuel when diverted to Liverpool because of adverse weather.,1940,1948
457,1948-11-26,11:15:00,"Vehari, Pakistan",Pakistan Airways,Douglas DC-3,21,16,5,21,16.0,5.0,"The plane crashed shortly after taking off and climbing to 7,000 feet. The aircraft was seen trailing smoke before crashing in flames. The omission of a sealing washer on the carburetor fuel filter of the port engine resulting in fuel leaking on to the ignition systems, culminating in a severe oil fire which finally involved the main port fuel tanks.",1940,1948
458,1948-12-06,10:30:00,"Milan, Italy","Avio Linee Italiane
Avio Linee Italiane",Douglas C-47,7,6,1,7,6.0,1.0,The aircraft crashed during takeoff in fog.,1940,1948
459,1948-12-15,06:00:00,"Near Bogata, Colombia",LANSA,Douglas C-47,30,27,3,30,27.0,3.0,Crashed shortly after taking off from Bogota. Possible accidental detonation of fire works being carried aboard leading to the in-flight separation of the wing.,1940,1948
460,1948-12-21,16:37:00,"Near Pilos, Greece",Ceskoslovenske Aerolinie,Douglas DC-3,24,19,5,24,19.0,5.0,Crashed in the Taigetos Mountains while en route after being shot down by Greek insurgents.,1940,1948
